Iteration: 149, total timesteps: 60200, total time: 500.1, FPS: 120.4, mean reward: -3.4, min/max reward: -33.7/55.3
Iteration: 150, total timesteps: 60600, total time: 503.8, FPS: 120.3, mean reward: -4.4, min/max reward: -41.9/54.2
Iteration: 151, total timesteps: 61000, total time: 506.9, FPS: 120.3, mean reward: -4.7, min/max reward: -41.9/54.2
Iteration: 152, total timesteps: 61400, total time: 508.7, FPS: 120.7, mean reward: -4.7, min/max reward: -41.9/54.2
Iteration: 153, total timesteps: 61800, total time: 512.0, FPS: 120.7, mean reward: -5.2, min/max reward: -41.9/54.2
Iteration: 154, total timesteps: 62200, total time: 515.3, FPS: 120.7, mean reward: -4.5, min/max reward: -41.9/54.2
Iteration: 155, total timesteps: 62600, total time: 518.7, FPS: 120.7, mean reward: -4.6, min/max reward: -41.9/54.2
Iteration: 156, total timesteps: 63000, total time: 522.1, FPS: 120.7, mean reward: -5.8, min/max reward: -41.9/54.2
Iteration: 157, total timesteps: 63400, total time: 525.6, FPS: 120.6, mean reward: -6.3, min/max reward: -41.9/54.2
Iteration: 158, total timesteps: 63800, total time: 528.1, FPS: 120.8, mean reward: -6.3, min/max reward: -41.9/54.2
Iteration: 159, total timesteps: 64200, total time: 532.1, FPS: 120.6, mean reward: -7.3, min/max reward: -41.9/54.2
Iteration: 160, total timesteps: 64600, total time: 536.3, FPS: 120.5, mean reward: -6.6, min/max reward: -41.9/54.2
Iteration: 161, total timesteps: 65000, total time: 540.3, FPS: 120.3, mean reward: -6.5, min/max reward: -41.9/58.2
Iteration: 162, total timesteps: 65400, total time: 544.3, FPS: 120.2, mean reward: -7.8, min/max reward: -41.9/58.2
Iteration: 163, total timesteps: 65800, total time: 547.4, FPS: 120.2, mean reward: -8.8, min/max reward: -41.9/58.2
Iteration: 164, total timesteps: 66200, total time: 549.2, FPS: 120.5, mean reward: -8.8, min/max reward: -41.9/58.2
Iteration: 165, total timesteps: 66600, total time: 552.5, FPS: 120.5, mean reward: -7.7, min/max reward: -35.2/58.2
Iteration: 166, total timesteps: 67000, total time: 555.9, FPS: 120.5, mean reward: -7.3, min/max reward: -35.2/58.2
Iteration: 167, total timesteps: 67400, total time: 559.2, FPS: 120.5, mean reward: -7.1, min/max reward: -35.2/58.2
